	concept_pair	pmid	reltype	counts	rand value	pair description	actual relationship	Type	Notes	Note Type	meta_path	directionality	meta_path_length
38	5443_x_202200	24139699	g_d	7	735	ACTH gene vs adrenal insufficiency (OMIM for Glucocorticoid deficiency)	Resistance to ACTH gene product is a symptom of triple A syndrome which includes adrenal insufficiency	P			Gene-Disease-Disease	side-side	3
111	5443_x_D003680	24139699	g_d	7	754	ACTH gene vs dysphagia	Resistance to ACTH causes disease of which dysphagia is a symptom	I			Gene-Disease-Symptom	side-down	3
162	5443_x_D020361	20499090	g_d	4	768	ACTH vs autonomic dysfunction	ACTH-resistance causes adrenal insufficiency which is co-morbid with autonomic dysfunction	J			Gene-Disease-Disease-Symptom	side-up-down	4
799	D015032_x_D019636	24517367	c_d	2	772	zinc vs neurodegeneration process	Zinc is not a drug	2			concept wrong	concept wrong	-1
553	D000324_x_D005317	24834210	c_d	3	784	adrenocorticotropic-hormone vs growth retardation	ACTH chemical resistance causes glucocorticoid insufficiency a subdisease of Triple A syndrome which symptom includes growth retardation	CJ			Drug-Disease-Disease-Symptom	side-up-down	4
271	8086_x_D000312	16938764	g_d	2	786	AAAS vs adrenal disease	mutation causes disease	0			Gene-Disease	side	2
406	C014088_x_D000544	22517741	c_d	3	787	N-acteylglucosamine vs Alzheimer's disease	N-acetylglucosamine is abnormal in Alzheimer's disease	AA			Chem-Disease	side	2
82	5443_x_C562827	12530689	g_d	2	791	ACTH vs alacrima	ACTH resistance causes adrenal insufficiency which is co-morbid with alacrima	J			Gene-Disease-Disease-Symptom	side-up-down	4
170	5443_x_D025063	24139699	g_d	12	793	ACTH gene vs chromosome disorders	Resistance to ACTH gene product causes disease which is a subdisease of a syndrome from mentioned disease class (chromosome disorders)	H			Gene-Disease-Disease-DiseaseClass	side-up-up	4
221	8086_x_C536008	22584989	g_d	2	794	AAAS vs Triple A syndrome	AAAS gene mutation causes Triple A syndrome	0			Gene-Disease	side	2
0	17996_x_C536008	10714761	c_d	3	794	chloride vs Triple A syndrome	chloride is not a drug	2			concept wrong	concept wrong	-1
41	5443_x_C536008	1659963	g_d	9	799	ACTH vs Triple A syndrome	resistance/insensitivity to mentioned gene/gene product is a symptom of disease	P			Gene-Disease-Disease	side-up	3
35	5443_x_202200	8253654	g_d	4	803	ACTH vs glucocorticoid deficiency	ACTH resistance used interchangeably with the disease	AB			Gene-Disease	side	2
811	D016210_x_D009123	2854735	c_d	5	803	mecholyl vs congenital hypotonia	chemical used to test for familial dysautonomia of which congenital hypotonia was a symptom	T			Drug-Disease-Symptom	side-down	3
52	5443_x_C536008	16197535	g_d	10	807	ACTH gene vs Triple A Syndrome	Resistance to ACTH gene product causes disease which is a subdisease of Triple A syndrome	G			Gene-Disease-Disease	side-up	3
67	5443_x_C536009	12530689	g_d	6	807	ACTH vs Triple A syndrome	Resistance to ACTH gene product causes disease which is a subdisease of Triple A syndrome	G			Gene-Disease-Disease	side-up	3
364	8086_x_D025063	16970037	g_d	2	810	AAAS vs  autosomal recessive disorder	AAAS gene mutation causes disease	0			Gene-Disease-DiseaseClass	side-up	3
144	5443_x_D009422	12793312	g_d	9	815	ACTH gene vs nervous system diseases	Resistance to ACTH gene product causes disease which is a subdisease of a syndrome from mentioned disease class (nervous system diseases)	H			Gene-Disease-Disease-DiseaseClass	side-up-up	4
757	D011134_x_C567437	11935250	c_d	1	820	N-glycans vs congenital disorders of glycosylation	N-glycans is not a drug	2			concept wrong	concept wrong	-1
252	8086_x_C562827	23861206	g_d	5	825	AAAS vs alacrima	AAAS gene mutation causes Triple A syndrome which has symptom Alacrima	0			Gene-Disease-Symptom	side-down	3
107	5443_x_D001342	12793312	g_d	10	827	ACTH gene vs autonomic nervous dysfunction	Resistance to ACTH gene product causes disease which is a subdisease of a syndrome from mentioned disease class (autonomic nervous disorders)	H			Gene-Disease-Disease-Symptom	side-up-down	4
854	None_x_D006527	19322026	c_d	1	830	tryptophan aspartic acid vs WD	WD is not a disease in this context	2			concept wrong	concept wrong	-1
626	D004376_x_None	2331135	c_d	2	832	galactitol vs galactosaemia	galactitol in plasma may be related to galactosaemia	5			Drug-Disease	side	2
708	D007501_x_D005530	16937455	c_d	2	836	iron vs iron deficiency anemia and the younger sister had pes cavus	iron is not a drug	2	drug deficiency causes disease		concept wrong	concept wrong	-1
29	4158_x_C536008	11353896	g_d	4	840	ACTH receptor vs Triple A syndrome	ACTH receptor mutations causes ACTH insensitivity which is also a symptom of Triple A syndrome	AI			Gene-Gene-Disease-Disease	side-side-up	4
727	D009569_x_D000860	22728164	c_d	2	856	nitric oxide vs hypoxia	hypoxia is not a disease in this abstract	2			concept wrong	concept wrong	-1
639	D005944_x_D008232	1299347	c_d	3	858	glucosamine vs lymphoproliferative disease	glucosamine is not a chem concept	2	actual text is glucosamine-labeled peptides		concept wrong	concept wrong	-1
474	C076831_x_D000544	22517741	c_d	1	866	"GlcNAc-beta-1,3-Fuc-alpha-1-O-Thr vs Alzheimer's disease"	"GlcNAc-beta-1,3-Fuc-a-1-O-Thr is not a drug"	2			concept wrong	concept wrong	-1
75	5443_x_C536009	24139699	g_d	9	889	ACTH gene vs Triple A Syndrome	Resistance to ACTH gene product causes disease which is a subdisease of Triple A syndrome	G			Gene-Disease-Disease	side-up	3
101	5443_x_D000310	12530689	g_d	9	891	ACTH vs adrenal gland	Adrenal gland is not a disease	2	"Identifier is actually for adrenal gland neoplasms, not adrenal gland"	1	Concept wrong	Concept wrong	-1
369	8086_x_D030342	11914417	g_d	4	897	AAAS vs autosomal recessive disorder	gene mutation causes disease which is a subtype of autosomal recessive disorder	0			Gene-Disease-DiseaseClass	side-up	3
255	8086_x_C564052	21744492	g_d	5	909	AAAS vs x-linked	x-linked is not a disease	2			concept wrong	concept wrong	-1
672	D006493_x_D006946	19101627	c_d	3	923	Heparin vs hyperinsulism	heparin can substitute mannose a treatment for enteropathy which is comorbid with hyperinsulinism	C			Drug-Drug-Disease-Disease	side-side-side-side	4
200	7345_x_D004931	12717251	g_d	9	923	PGP9.5 gene vs achalasia	PGP9.5 (a neuronal marker) used to stain samples from patient with achalasia	L			Reagent-Sample-Source	missing concept types	-1
155	5443_x_D016472	24139699	g_d	4	926	ACTH vs neuron disease	ACTH resistance is a subdisease of Triple A which has symptom neuron disease	J			Gene-Disease-Disease-Symptom	side-up-down	4
488	C097320_x_D007511	21068200	c_d	1	929	O-GlcNAc vs ischemia	O-GlcNAc is a not a drug in this abstract	2			concept wrong	concept wrong	-1
57	5443_x_C536008	20051279	g_d	5	930	ACTH vs Triple A syndrome	"ACTH resistant-adrenal failure normally a symptom of Triple A syndrome, but not in this case"	3			Gene-Disease-Disease	side-up	3
74	5443_x_C536009	20051279	g_d	5	934	ACTH vs Alacrima.achalasia (Triple A syndrome)	"ACTH resistant-adrenal failure normally a symptom of AA/Triple A, but not in this case"	3			Gene-Disease-Disease	side-up	3
169	5443_x_D025063	20499090	g_d	6	940	ACTH gene vs chromosome disorders	Resistance to ACTH causes disease which is a subdisease of a syndrome which is classified as a chromosome disorder	H			Gene-Disease-Disease-DiseaseClass	side-up-up	4
151	5443_x_D009461	16937455	g_d	3	947	ACTH vs neurological symptoms	ACTH resistance causes disease which is co-morbid with neurological symptoms	J			Gene-Disease-Disease-Symptom	side-up-down	4
309	8086_x_D009135	16098009	g_d	1	952	AAAS vs autosomal recessive disorder	AAAS gene mutation causes an autosomal recessive condition	0			Gene-Disease-DiseaseClass	side-up	3
817	D017261_x_D004403	10858229	c_d	2	982	glycosylphophatidylinositol vs diarrheal disease	 is not a drug	2			concept wrong	concept wrong	-1
76	5443_x_C536009	20499090	g_d	3	984	ACTH vs alacrima.achalasia (Triple A syndrome)	ACTH-resistance causes adrenal insufficiency which is co-morbid with AA (triple A)	J			Gene-Disease-Disease-Symptom	side-up-down	4
49	5443_x_C536008	12150219	g_d	6	985	ACTH vs Triple A syndrome	Resistance to ACTH gene product causes disease which is a subdisease of Triple A syndrome	G			Gene-Disease-Disease	side-up	3
