	pmid	refid1	refid2	reltype	concept_pair	user_count	evtype	relation_count	test_completions	true_responses	response_ratio	refid1_type	refid2_type
794	12717251	7345	D005355	g_d	7345_x_D005355	15	c_1_broken	6	0.0	15	0.4	g	d
801	12717251	7345	D025063	g_d	7345_x_D025063	15	gene relates to disease	10	0.0	15	0.6666666666666666	g	d
805	12717251	7345	D030342	g_d	7345_x_D030342	15	gene relates to disease	10	0.0	15	0.6666666666666666	g	d
806	12717251	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
807	12717251	8086	C537394	g_d	8086_x_C537394	17	c_2_broken	15	1.0	16	0.9375	g	d
811	12717251	8086	C562827	g_d	8086_x_C562827	15	gene relates to disease	7	0.0	15	0.4666666666666667	g	d
812	12717251	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
816	12717251	8086	D004938	g_d	8086_x_D004938	16	gene mutation is/may be associated with disease	11	0.0	16	0.6875	g	d
820	12717251	8086	D005355	g_d	8086_x_D005355	16	gene mutation is/may be associated with disease	7	0.0	16	0.4375	g	d
823	12717251	8086	D025063	g_d	8086_x_D025063	16	gene mutation is/may be associated with disease	13	0.0	16	0.8125	g	d
829	12717251	8086	D030342	g_d	8086_x_D030342	15	gene relates to disease	6	0.0	15	0.4	g	d
833	12793312	5443	C536008	g_d	5443_x_C536008	17	gene relates to disease	9	1.0	16	0.5625	g	d
837	12793312	5443	C536009	g_d	5443_x_C536009	16	gene relates to disease	7	0.0	16	0.4375	g	d
839	12793312	5443	D000309	g_d	5443_x_D000309	16	gene relates to disease	11	1.0	15	0.7333333333333333	g	d
842	12793312	5443	D001342	g_d	5443_x_D001342	15	gene relates to disease	10	1.0	14	0.7142857142857143	g	d
845	12793312	5443	D004931	g_d	5443_x_D004931	15	gene relates to disease	8	0.0	15	0.5333333333333333	g	d
850	12793312	5443	D009422	g_d	5443_x_D009422	26	gene relates to disease	9	2.0	24	0.375	g	d
851	12872847	C532103	D018981	c_d	C532103_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
853	12882516	C013059	D000544	c_d	C013059_x_D000544	15	c_1_broken	9	0.0	15	0.6	c	d
858	12882516	C014088	D000544	c_d	C014088_x_D000544	16	c_1_broken	7	0.0	16	0.4375	c	d
863	12882516	C047902	D000544	c_d	C047902_x_D000544	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
867	12882516	C061951	D000544	c_d	C061951_x_D000544	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
871	12882516	C097320	D000544	c_d	C097320_x_D000544	15	c_1_broken	7	0.0	15	0.4666666666666667	c	d
875	12882516	D004967	D000544	c_d	D004967_x_D000544	15	c_1_broken	8	0.0	15	0.5333333333333333	c	d
881	12882516	D009569	D000544	c_d	D009569_x_D000544	15	drug has no relation to disease	8	0.0	15	0.5333333333333333	c	d
883	12882516	D010710	D000544	c_d	D010710_x_D000544	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
886	12882516	D014530	D000544	c_d	D014530_x_D000544	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
889	12911634	C402931	D000544	c_d	C402931_x_D000544	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
891	12932858	C023888	D010300	c_d	C023888_x_D010300	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
894	12947384	D001897	D009369	c_d	D001897_x_D009369	15	drug (may) treat(s) disease	8	0.0	15	0.5333333333333333	c	d
896	14633925	C057651	D018981	c_d	C057651_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
897	14633925	D002241	D018981	c_d	D002241_x_D018981	16	c_1_broken	16	0.0	16	1.0	c	d
899	14646395	8086	C536008	g_d	8086_x_C536008	24	gene mutation is/may be associated with disease	21	1.0	23	0.9130434782608696	g	d
901	14646395	8086	C536009	g_d	8086_x_C536009	24	gene mutation is/may be associated with disease	21	1.0	23	0.9130434782608696	g	d
902	14646395	8086	D000309	g_d	8086_x_D000309	24	gene mutation is/may be associated with disease	19	1.0	23	0.8260869565217391	g	d
905	14646395	8086	D008607	g_d	8086_x_D008607	24	gene mutation is/may be associated with disease	16	1.0	23	0.6956521739130435	g	d
908	14646395	8086	D009386	g_d	8086_x_D009386	16	gene mutation is/may be associated with disease	9	0.0	16	0.5625	g	d
909	14675190	D006497	D001768	c_d	D006497_x_D001768	16	c_1_broken	10	0.0	16	0.625	c	d
912	15133511	D002118	D008659	c_d	D002118_x_D008659	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
916	15194565	D009844	D005355	c_d	D009844_x_D005355	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
919	15589762	C039522	D018981	c_d	C039522_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
922	15589762	C066308	D018981	c_d	C066308_x_D018981	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
925	15589762	D006020	D018981	c_d	D006020_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
927	15589762	D011134	D018981	c_d	D011134_x_D018981	16	c_1_broken	14	0.0	16	0.875	c	d
930	15623514	D000255	D016506	c_d	D000255_x_D016506	16	c_1_broken	15	0.0	16	0.9375	c	d
932	15623514	D002118	D016506	c_d	D002118_x_D016506	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
935	15680696	300259	C536008	g_d	300259_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
936	15680696	300259	C536009	g_d	300259_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
937	15680696	300259	D000309	g_d	300259_x_D000309	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
938	15680696	300259	D000324	g_c	300259_x_D000324	15	c_2_broken	9	0.0	15	0.6	g	c
942	15680696	D000324	D000309	c_d	D000324_x_D000309	16	c_1_broken	11	0.0	16	0.6875	c	d
948	15761720	D013311	D008223	c_d	D013311_x_D008223	15	drug has no relation to disease	5	0.0	15	0.3333333333333333	c	d
950	15804603	C026406	C567437	c_d	C026406_x_C567437	15	c_1_broken	12	0.0	15	0.8	c	d
953	15804603	C050801	C567437	c_d	C050801_x_C567437	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
955	15804603	C066723	C567437	c_d	C066723_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
958	15804603	C077052	C567437	c_d	C077052_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
961	15804603	C120688	C567437	c_d	C120688_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
964	15804603	C549769	C567437	c_d	C549769_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
966	15804603	D005944	C567437	c_d	D005944_x_C567437	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
969	15804603	D009844	C567437	c_d	D009844_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
972	15804603	D015057	C567437	c_d	D015057_x_C567437	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
975	16001505	D000588	D004342	c_d	D000588_x_D004342	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
979	16001505	D009844	D004342	c_d	D009844_x_D004342	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
983	16001505	D018396	D004342	c_d	D018396_x_D004342	15	c_1_broken	9	0.0	15	0.6	c	d
998	16098009	8086	256600	g_d	8086_x_256600	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
999	16098009	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d
1001	16098009	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1002	16098009	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1005	16098009	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1008	16098009	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1011	16098009	8086	D009135	g_d	8086_x_D009135	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
1013	16098009	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1017	16098009	8086	D020361	g_d	8086_x_D020361	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
1019	16197535	5443	D014355	g_d	5443_x_D014355	15	gene has no relation to disease	10	0.0	15	0.6666666666666666	g	d
1023	16197535	5443	D019578	g_d	5443_x_D019578	18	gene relates to disease	7	0.0	18	0.3888888888888889	g	d
1025	16264411	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
1026	16264411	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1028	16264411	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1030	16264411	8086	D000224	g_d	8086_x_D000224	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1032	16264411	8086	D003929	g_d	8086_x_D003929	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1034	16264411	8086	D004827	g_d	8086_x_D004827	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d
1035	16264411	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
1036	16264411	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	14	1.0	15	0.9333333333333332	g	d
1039	16264411	8086	D014832	g_d	8086_x_D014832	17	gene mutation is/may be associated with disease	15	0.0	17	0.8823529411764706	g	d
1040	16264411	8086	D018268	g_d	8086_x_D018268	18	c_2_broken	13	0.0	18	0.7222222222222222	g	d
1046	16264411	8086	D020734	g_d	8086_x_D020734	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1048	16264411	8086	D030342	g_d	8086_x_D030342	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1050	16274825	C047712	D008288	c_d	C047712_x_D008288	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1053	16315367	C047192	D018979	c_d	C047192_x_D018979	15	c_1_broken	12	1.0	14	0.8571428571428571	c	d
1056	16317064	C012877	D018981	c_d	C012877_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1057	16317064	C050801	D018981	c_d	C050801_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1059	16317064	D007455	D018981	c_d	D007455_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1060	16317064	D009844	D018981	c_d	D009844_x_D018981	15	c_1_broken	13	1.0	14	0.9285714285714286	c	d
1062	16372276	D000596	D018981	c_d	D000596_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1064	16372276	D010710	D018981	c_d	D010710_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1066	16510524	D005033	D018981	c_d	D005033_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1068	16510524	D020126	D018981	c_d	D020126_x_D018981	16	c_1_broken	7	0.0	16	0.4375	c	d
1074	16528113	351	D000309	g_d	351_x_D000309	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d
1076	16528113	351	D009135	g_d	351_x_D009135	21	c_1_broken	10	1.0	20	0.5	g	d
1083	16609705	8086	613385	g_d	8086_x_613385	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d
1087	16609705	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1090	16609705	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1094	16609705	8086	C537301	g_d	8086_x_C537301	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d
1099	16609705	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d
1103	16609705	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d
1105	16609705	8086	D006527	g_d	8086_x_D006527	15	c_2_broken	12	0.0	15	0.8	g	d
1107	16669732	C544092	D000544	c_d	C544092_x_D000544	15	c_1_broken	13	1.0	14	0.9285714285714286	c	d
1109	16714295	C014088	D019636	c_d	C014088_x_D019636	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1114	16915903	D015242	C536009	c_d	D015242_x_C536009	18	drug (may) treat(s) disease	11	1.0	17	0.6470588235294118	c	d
1116	16915903	D015242	C566307	c_d	D015242_x_C566307	15	drug (may) treat(s) disease	12	0.0	15	0.8	c	d
1119	16915903	D015242	D003318	c_d	D015242_x_D003318	18	drug (may) treat(s) disease	11	2.0	16	0.6875	c	d
1123	16937455	5443	C536008	g_d	5443_x_C536008	15	c_2_broken	4	0.0	15	0.26666666666666666	g	d
1130	16937455	5443	C536009	g_d	5443_x_C536009	15	gene has no relation to disease	6	0.0	15	0.4	g	d
1134	16937455	5443	D005530	g_d	5443_x_D005530	15	c_2_broken	9	0.0	15	0.6	g	d
1141	16937455	5443	D007501	g_c	5443_x_D007501	17	gene has no relation to drug	5	1.0	16	0.3125	g	c
1145	16937455	D007501	D007645	c_d	D007501_x_D007645	16	drug has no relation to disease	7	0.0	16	0.4375	c	d
1147	16938764	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1148	16938764	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1149	16938764	8086	D000303	g_d	8086_x_D000303	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1152	16938764	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1154	16938764	8086	D000312	g_d	8086_x_D000312	15	gene mutation is/may be associated with disease	11	1.0	14	0.7857142857142857	g	d
1156	16938764	8086	D004402	g_d	8086_x_D004402	15	gene has no relation to disease	9	0.0	15	0.6	g	d
1159	16938764	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1161	16938764	8086	D008107	g_d	8086_x_D008107	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1162	16938764	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1165	16938764	8086	D009461	g_d	8086_x_D009461	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1168	16938764	8086	D012735	g_d	8086_x_D012735	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
1170	16938764	8086	D030342	g_d	8086_x_D030342	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1171	16964526	D014614	D001927	c_d	D014614_x_D001927	15	c_1_broken	12	0.0	15	0.8	c	d
1174	16964526	D015032	D001927	c_d	D015032_x_D001927	15	c_1_broken	7	0.0	15	0.4666666666666667	c	d
1180	16970037	8086	C536008	g_d	8086_x_C536008	26	gene mutation is/may be associated with disease	22	0.0	26	0.8461538461538461	g	d
1183	16970037	8086	C536009	g_d	8086_x_C536009	25	gene mutation is/may be associated with disease	17	1.0	24	0.7083333333333334	g	d
1186	16970037	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d
1189	16970037	8086	D000309	g_d	8086_x_D000309	25	gene mutation is/may be associated with disease	20	1.0	24	0.8333333333333334	g	d
1191	16970037	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1194	16970037	8086	D009133	g_d	8086_x_D009133	25	gene mutation is/may be associated with disease	21	1.0	24	0.875	g	d
1195	16970037	8086	D009386	g_d	8086_x_D009386	15	c_2_broken	9	0.0	15	0.6	g	d
1201	16970037	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d
1205	16970037	8086	D009461	g_d	8086_x_D009461	27	gene mutation is/may be associated with disease	19	3.0	24	0.7916666666666666	g	d
1209	16970037	8086	D012021	g_d	8086_x_D012021	29	gene mutation is/may be associated with disease	20	1.0	28	0.7142857142857143	g	d
1213	16970037	8086	D018754	g_d	8086_x_D018754	25	gene mutation is/may be associated with disease	19	1.0	24	0.7916666666666666	g	d
1215	16970037	8086	D018908	g_d	8086_x_D018908	25	gene mutation is/may be associated with disease	21	1.0	24	0.875	g	d
1218	16970037	8086	D020361	g_d	8086_x_D020361	27	gene mutation is/may be associated with disease	21	0.0	27	0.7777777777777778	g	d
1221	16970037	8086	D025063	g_d	8086_x_D025063	25	gene mutation is/may be associated with disease	17	1.0	24	0.7083333333333334	g	d
1224	16970037	8086	D030342	g_d	8086_x_D030342	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1226	16980445	D000431	D012769	c_d	D000431_x_D012769	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1229	16980445	D006861	D012769	c_d	D006861_x_D012769	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1231	16980445	D012965	D012769	c_d	D012965_x_D012769	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1234	16980445	D013395	D012769	c_d	D013395_x_D012769	16	c_1_broken	14	0.0	16	0.875	c	d
1237	16980445	D014614	D012769	c_d	D014614_x_D012769	16	c_1_broken	15	0.0	16	0.9375	c	d
1241	17049852	C013059	D018981	c_d	C013059_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1243	17049852	C047217	D018981	c_d	C047217_x_D018981	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1247	17049852	C119435	D018981	c_d	C119435_x_D018981	15	c_1_broken	7	0.0	15	0.4666666666666667	c	d
1252	17049852	D000949	D018981	c_d	D000949_x_D018981	15	c_1_broken	12	0.0	15	0.8	c	d
1255	17049852	D010710	D018981	c_d	D010710_x_D018981	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1259	17197096	C013059	D018981	c_d	C013059_x_D018981	15	c_1_broken	12	0.0	15	0.8	c	d
1262	17197096	C039522	D018981	c_d	C039522_x_D018981	15	c_1_broken	12	0.0	15	0.8	c	d
1265	17197096	D009844	D018981	c_d	D009844_x_D018981	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1269	17197096	D011188	D018981	c_d	D011188_x_D018981	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1273	17255094	C027576	D000544	c_d	C027576_x_D000544	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1277	17255094	C115717	D000544	c_d	C115717_x_D000544	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1280	17255094	C544092	D000544	c_d	C544092_x_D000544	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1283	17520685	C012877	D018981	c_d	C012877_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1285	17523137	C018824	D018981	c_d	C018824_x_D018981	16	c_1_broken	16	0.0	16	1.0	c	d
1286	17523137	C057651	D018981	c_d	C057651_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1288	17523137	C066308	D018981	c_d	C066308_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1289	17523137	C068126	D018981	c_d	C068126_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1290	17523137	C078798	D018981	c_d	C078798_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1291	17595484	D006854	D004931	c_d	D006854_x_D004931	15	c_1_broken	8	0.0	15	0.5333333333333333	c	d
1296	17716641	C057651	D018981	c_d	C057651_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1299	17716641	C077052	D018981	c_d	C077052_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1301	17716641	D009844	D018981	c_d	D009844_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1304	17853535	D004298	D010300	c_d	D004298_x_D010300	15	c_1_broken	8	0.0	15	0.5333333333333333	c	d
1310	17880786	5443	202200	g_d	5443_x_202200	15	c_1_broken	6	0.0	15	0.4	g	d
1318	17880786	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d
1320	17880786	8086	202200	g_d	8086_x_202200	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1322	17880786	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1323	17880786	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1325	17880786	8086	D000224	g_d	8086_x_D000224	15	gene mutation is/may be associated with disease	6	0.0	15	0.4	g	d
1327	17880786	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1328	17880786	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1330	17880786	8086	D015161	g_d	8086_x_D015161	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1332	17880786	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1334	17911039	8086	C536008	g_d	8086_x_C536008	15	c_2_broken	7	0.0	15	0.4666666666666667	g	d
1338	17911039	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1339	17911039	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1343	17911039	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
1345	17911039	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1348	17911039	8086	D009386	g_d	8086_x_D009386	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d
1350	17911039	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1352	17911039	8086	D030342	g_d	8086_x_D030342	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1354	17986439	D009844	D011471	c_d	D009844_x_D011471	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1356	18171607	C060487	D002908	c_d	C060487_x_D002908	15	c_1_broken	12	0.0	15	0.8	c	d
1359	18171607	C545158	D002908	c_d	C545158_x_D002908	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1361	18171607	D015032	D002908	c_d	D015032_x_D002908	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1365	18172684	16414	D000309	c_d	16414_x_D000309	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1368	18172684	8086	16414	g_c	8086_x_16414	16	c_2_broken	12	0.0	16	0.75	g	c
1372	18172684	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
1375	18172684	8086	C536009	g_d	8086_x_C536009	16	gene mutation is/may be associated with disease	10	0.0	16	0.625	g	d
1376	18172684	8086	D000309	g_d	8086_x_D000309	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
1377	18172684	8086	D001342	g_d	8086_x_D001342	16	c_2_broken	9	0.0	16	0.5625	g	d
1380	18172684	8086	D025063	g_d	8086_x_D025063	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
1382	18175081	8086	C536008	g_d	8086_x_C536008	18	gene mutation is/may be associated with disease	16	0.0	18	0.8888888888888888	g	d
1384	18175081	8086	C536009	g_d	8086_x_C536009	17	gene mutation is/may be associated with disease	11	0.0	17	0.6470588235294118	g	d
1386	18175081	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	12	1.0	15	0.8	g	d
1389	18175081	8086	D000224	g_d	8086_x_D000224	17	gene mutation is/may be associated with disease	13	0.0	17	0.7647058823529411	g	d
1391	18175081	8086	D000309	g_d	8086_x_D000309	17	gene mutation is/may be associated with disease	13	0.0	17	0.7647058823529411	g	d
1392	18175081	8086	D001480	g_d	8086_x_D001480	17	gene has no relation to disease	11	0.0	17	0.6470588235294118	g	d
1395	18175081	8086	D003680	g_d	8086_x_D003680	17	gene has no relation to disease	8	0.0	17	0.4705882352941176	g	d
1399	18175081	8086	D004931	g_d	8086_x_D004931	17	gene mutation is/may be associated with disease	13	0.0	17	0.7647058823529411	g	d
1401	18175081	8086	D009422	g_d	8086_x_D009422	17	gene mutation is/may be associated with disease	11	0.0	17	0.6470588235294118	g	d
1404	18175081	8086	D009461	g_d	8086_x_D009461	17	gene mutation is/may be associated with disease	7	0.0	17	0.4117647058823529	g	d
1406	18175081	8086	D009896	g_d	8086_x_D009896	17	gene mutation is/may be associated with disease	10	0.0	17	0.5882352941176471	g	d
1409	18175081	8086	D015417	g_d	8086_x_D015417	17	gene mutation is/may be associated with disease	8	0.0	17	0.4705882352941176	g	d
1412	18175081	8086	D016472	g_d	8086_x_D016472	16	gene has no relation to disease	9	0.0	16	0.5625	g	d
1416	18175081	8086	D025063	g_d	8086_x_D025063	17	gene mutation is/may be associated with disease	12	0.0	17	0.7058823529411765	g	d
1419	18175081	8086	D030342	g_d	8086_x_D030342	15	gene mutation is/may be associated with disease	11	1.0	14	0.7857142857142857	g	d
1420	18258197	C047192	D064420	c_d	C047192_x_D064420	16	c_1_broken	16	0.0	16	1.0	c	d
1421	18258197	D003035	D064420	c_d	D003035_x_D064420	15	c_1_broken	15	0.0	15	1.0	c	d
1422	18269265	D000596	D018981	c_d	D000596_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1424	18269265	D005643	D018981	c_d	D005643_x_D018981	15	c_1_broken	12	0.0	15	0.8	c	d
1427	18269265	D009844	D018981	c_d	D009844_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1428	18304576	C027576	D000544	c_d	C027576_x_D000544	15	c_1_broken	8	0.0	15	0.5333333333333333	c	d
1434	18304576	C544092	D000544	c_d	C544092_x_D000544	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1437	18304576	D016229	D000544	c_d	D016229_x_D000544	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1444	18579727	C084077	D012892	c_d	C084077_x_D012892	15	c_1_broken	12	0.0	15	0.8	c	d
1447	18579727	D001729	D029424	c_d	D001729_x_D029424	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1449	18615337	8086	205100	g_d	8086_x_205100	19	gene has no relation to disease	13	0.0	19	0.6842105263157895	g	d
1454	18615337	8086	C536008	g_d	8086_x_C536008	18	gene mutation is/may be associated with disease	16	0.0	18	0.8888888888888888	g	d
1456	18615337	8086	C536009	g_d	8086_x_C536009	18	gene mutation is/may be associated with disease	15	0.0	18	0.8333333333333334	g	d
1461	18615337	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1462	18615337	8086	C565957	g_d	8086_x_C565957	15	gene has no relation to disease	8	0.0	15	0.5333333333333333	g	d
1467	18615337	8086	D000309	g_d	8086_x_D000309	18	gene mutation is/may be associated with disease	14	0.0	18	0.7777777777777778	g	d
1469	18615337	8086	D004931	g_d	8086_x_D004931	18	gene mutation is/may be associated with disease	16	0.0	18	0.8888888888888888	g	d
