	SUBJECT_NAME	PREDICATE	OBJECT_NAME	PMID	SUBJECT_CUI	SUBJECT_SEMTYPE	OBJECT_CUI	OBJECT_SEMTYPE	PREDICATION_ID	SENTENCE_ID	SUBJECT_NOVELTY	OBJECT_NOVELTY
230	Phosphomannomutase	ASSOCIATED_WITH	hypoglycemia	11916319	C0070886	aapp	C0020615	dsyn	37047128	64011108	1	1
231	hypoglycemia	PROCESS_OF	Patients	11916319	C0020615	dsyn	C0030705	humn	37047130	64011108	1	0
232	Phosphomannomutase	PART_OF	Patients	11916319	C0070886	aapp	C0030705	humn	37047141	64011108	1	0
233	Adrenal gland hypofunction	COEXISTS_WITH	Rare Diseases	12530689	C0001623	dsyn	C0678236	dsyn	37105946	64114704	1	1
234	Adrenal gland hypofunction	PROCESS_OF	Patients	12530689	C0001623	dsyn	C0030705	humn	37105984	64114795	1	0
235	Syndrome	PROCESS_OF	Family	12530689	C0039082	dsyn	C0015576	humn	37106173	64115002	0	1
236	Chromosome Fragility	PROCESS_OF	Patients	12548737	C0008629	comd	C0030705	humn	38082033	65781093	1	0
237	Adrenal gland hypofunction	COEXISTS_WITH	Rare Diseases	12548737	C0001623	dsyn	C0678236	dsyn	38082074	65781140	1	1
238	Alacrima	COEXISTS_WITH	Rare Diseases	12548737	C0344505	cgab	C0678236	dsyn	38082081	65781140	1	1
239	Achalasia	COEXISTS_WITH	Rare Diseases	12548737	C1321756	fndg	C0678236	dsyn	38082087	65781140	1	1
240	Genes	PART_OF	12q13	12548737	C0017337	gngm	C1520491	nusq	38082156	65781220	1	1
241	Syndrome	PROCESS_OF	Patients	12548737	C0039082	dsyn	C0030705	humn	38082187	65781328	0	0
242	Chromosome Breaks	OCCURS_IN	Patients	12548737	C0333704	comd	C0030705	podg	38082287	65781499	1	0
243	Achalasia	COEXISTS_WITH	Glucocorticoid deficiency with achalasia	12717251	C1321756	fndg	C0271742	dsyn	38243774	66056995	1	1
244	Glucocorticoid deficiency with achalasia	PROCESS_OF	Child	12717251	C0271742	dsyn	C0008059	humn	38243888	66057050	1	1
245	Fibrosis	PROCESS_OF	Patients	12717251	C0016059	patf	C0030705	humn	38243975	66057275	1	0
246	Glucocorticoid deficiency with achalasia	MANIFESTATION_OF	Disease	12717251	C0271742	dsyn	C0012634	dsyn	38244136	66057501	1	0
247	mannose-6-phosphate	INTERACTS_WITH	mannose 1-phosphate	11404002	C0065688	bacs	C0065682	carb	38269189	66100749	1	1
248	PMM2 gene	CAUSES	Congenital Disorders	11404002	C1418674	gngm	C0242354	dsyn	38269262	66100867	1	0
249	Orthologous Gene	PART_OF	House mice	11404002	C1335144	gngm	C0025914	mamm	38269298	66100937	1	1
250	Exons	PART_OF	PMM1 gene	11404002	C0015295	bacs	C1418673	aapp	38269357	66101087	1	1
251	PMM1 gene	PART_OF	Chromosomes, Human, Pair 15	11404002	C1418673	gngm	C0008657	celc	38269392	66101140	1	1
252	PMM1 gene	PART_OF	Brain tissue	11404002	C1418673	gngm	C0459385	bpoc	38269584	66101495	1	1
253	Escherichia coli	LOCATION_OF	PMM2 gene	10386614	C0014834	bact	C1418674	aapp	38569476	66603362	1	1
254	Fibroblasts	PART_OF	Patients	10386614	C0016030	cell	C0030705	humn	38569630	66603588	1	0
255	Mutation	CAUSES	Glucocorticoid deficiency with achalasia	17880786	C0026882	genf	C0271742	dsyn	39268790	67786669	1	1
256	Mutation	PROCESS_OF	Girls	17880786	C0026882	genf	C0870604	humn	39268831	67786740	1	1
257	Glucocorticoid deficiency with achalasia	PROCESS_OF	Girls	17880786	C0271742	dsyn	C0870604	humn	39268846	67786740	1	1
258	Adrenal gland hypofunction	PROCESS_OF	Patients	17880786	C0001623	dsyn	C0030705	humn	39269005	67787093	1	0
259	Consanguinity	PROCESS_OF	parent	17880786	C0009789	fndg	C0030551	humn	39269073	67787239	1	1
260	Frameshift Mutation function	PRODUCES	Codon, Nonsense	17880786	C0079380	comd	C0242612	bacs	39269164	67787440	1	1
261	Neurologic Deficits	COEXISTS_WITH	Adrenal gland hypofunction	16609705	C0521654	fndg	C0001623	dsyn	39574203	68350950	1	1
262	Proteins	PART_OF	Nuclear Pore Complex	16609705	C0033684	aapp	C0598988	celc	39574332	68351132	1	1
263	Cytoplasm	LOCATION_OF	Mutant Proteins	16609705	C0010834	celc	C1564139	aapp	39574470	68351468	1	1
264	Cell Line	PART_OF	Patients	16609705	C0007600	cell	C0030705	humn	39574558	68351557	1	0
265	Stress	COEXISTS_WITH	Hereditary Diseases	17911039	C0038435	fndg	C0019247	dsyn	40281989	69647000	1	1
266	Bacteria	LOCATION_OF	Molecular Chaperones	16980445	C0004611	bact	C0243041	aapp	40628817	70278698	1	1
267	Ethanol	INTERACTS_WITH	Sodium Chloride	16980445	C0001962	orch	C0037494	bacs	40628972	70278935	1	1
268	Molecular Chaperones	AFFECTS	biological adaptation to stress	16980445	C0243041	aapp	C0149784	phsf	40629256	70279503	1	1
269	Molecular Chaperones	AFFECTS	Cell Cycle Progression	16980445	C0243041	aapp	C1516334	celf	40629260	70279503	1	1
270	Cataracts lenticular	PROCESS_OF	Rattus norvegicus	15761720	C0235257	dsyn	C0034693	mamm	41373110	71624309	1	1
271	Microarray Analysis	METHOD_OF	Gene Expression Profiling	15761720	C1449575	lbpr	C0752248	lbpr	41373119	71624309	1	1
272	Insulin-Like Growth Factor I	ASSOCIATED_WITH	Diabetic cataract	15761720	C0021665	aapp	C0011876	dsyn	41373732	71625503	1	1
273	PER2 protein, mammalian	ASSOCIATED_WITH	Diabetic cataract	15761720	C0669679	aapp	C0011876	dsyn	41373736	71625503	1	1
274	lens epithelium-derived growth factor	ASSOCIATED_WITH	Diabetic cataract	15761720	C0767950	aapp	C0011876	dsyn	41373743	71625503	1	1
275	Oxidative Stress	COEXISTS_WITH	Cataract	15761720	C0242606	comd	C0086543	anab	41373976	71625833	1	1
276	Congenital Disorders	CAUSES	Hepatomegaly	12872847	C0242354	dsyn	C0019209	sosy	41545393	71934099	0	1
277	Congenital Disorders	CAUSES	hypoglycemia	12872847	C0242354	dsyn	C0020615	dsyn	41545399	71934099	0	1
278	Hepatomegaly	PROCESS_OF	Girls	12872847	C0019209	sosy	C0870604	humn	41545404	71934099	1	1
279	hypoglycemia	PROCESS_OF	Girls	12872847	C0020615	dsyn	C0870604	humn	41545406	71934099	1	1
280	Therapeutic procedure	USES	Mannose	12872847	C0087111	topp	C0024742	carb	41545428	71934276	0	1
281	Cell Death	AFFECTS	Cells	12947384	C0007587	celf	C0007634	cell	42211449	73156982	1	1
282	Cell Cycle Arrest	AFFECTS	Cells	12947384	C1155873	celf	C0007634	cell	42211456	73156982	1	1
283	Cancer Treatment	USES	multicatalytic endopeptidase complex	12947384	C0920425	topp	C0208355	aapp	42211715	73157458	1	1
284	multicatalytic endopeptidase complex	USES	PS 341	12947384	C0208355	aapp	C0879272	phsu	42211787	73157597	1	1
285	multicatalytic endopeptidase complex	ISA	Therapeutic procedure	12947384	C0208355	aapp	C0087111	topp	42211794	73157597	1	0
286	Therapeutic procedure	USES	PS 341	12947384	C0087111	topp	C0879272	phsu	42211799	73157597	0	1
287	Pharmaceutical Preparations	INTERACTS_WITH	multicatalytic endopeptidase complex	12947384	C0013227	phsu	C0208355	aapp	42211904	73157817	0	1
288	dolichyl-diphosphooligosaccharide - protein glycotransferase	PART_OF	Eukaryota	16317064	C0283757	aapp	C0684063	orgm	42286964	73291106	1	1
289	dolichyl-diphosphooligosaccharide - protein glycotransferase	PART_OF	Eukaryota	16317064	C0283757	aapp	C0684063	orgm	42287157	73291303	1	1
290	Disease	PROCESS_OF	Human	16317064	C0012634	dsyn	C0020114	humn	42287190	73291514	0	1
291	dolichyl-diphosphooligosaccharide - protein glycotransferase	PART_OF	Vertebrates	16317064	C0283757	aapp	C0042567	vtbt	42287328	73291582	1	1
292	Mammals	LOCATION_OF	DAD1 gene	16317064	C0024660	mamm	C1413900	aapp	42287331	73291582	1	1
293	Mammals	LOCATION_OF	STT3B gene	16317064	C0024660	mamm	C1823139	aapp	42287347	73291582	1	1
294	dolichyl-diphosphooligosaccharide - protein glycotransferase	PART_OF	Eukaryota	16317064	C0283757	aapp	C0684063	orgm	42287453	73291960	1	1
295	Evolution	PROCESS_OF	Eukaryota	16317064	C0015219	genf	C0684063	orgm	42287456	73291960	1	1
296	Esophageal achalasia	PROCESS_OF	sibling	16528113	C0014848	dsyn	C0037047	humn	42302976	73320454	1	1
297	Esophagus	LOCATION_OF	Achalasia	16528113	C0014876	bpoc	C1321756	fndg	42303020	73320503	1	1
298	Achalasia	PROCESS_OF	Child	16528113	C1321756	fndg	C0008059	humn	42303025	73320503	1	1
299	Consanguinity	PROCESS_OF	parent	16528113	C0009789	fndg	C0030551	humn	42303074	73320573	1	1
300	Esophagus	LOCATION_OF	Adrenal gland hypofunction	16528113	C0014876	bpoc	C0001623	dsyn	42303103	73320667	1	1
301	Esophagus	LOCATION_OF	Alacrima	16528113	C0014876	bpoc	C0344505	cgab	42303104	73320667	1	1
302	Esophagus	LOCATION_OF	Achalasia	16528113	C0014876	bpoc	C1321756	fndg	42303109	73320667	1	1
303	Achalasia	PROCESS_OF	sibling	16528113	C1321756	fndg	C0037047	humn	42303169	73320754	1	1
304	Syndrome	PROCESS_OF	Rattus norvegicus	15680696	C0039082	dsyn	C0034693	mamm	42529530	73733486	0	1
305	Achalasia	COEXISTS_WITH	Syndrome	15680696	C1321756	fndg	C0039082	dsyn	42529578	73733593	1	0
306	In Situ Hybridization	USES	Oligonucleotide Probes	15680696	C0162788	lbpr	C0028952	irda	42529707	73733826	1	1
307	Adrenal Cortex	LOCATION_OF	RNA, Messenger	15680696	C0001613	bpoc	C0035696	bacs	42529767	73733962	1	1
308	Horns	PART_OF	Spinal Cord	15680696	C0019939	bpoc	C0037925	bpoc	42529906	73734269	1	1
309	Structure of cranial nerve nucleus	PART_OF	Spinal Cord	15680696	C0228669	bpoc	C0037925	bpoc	42529909	73734269	1	1
310	Symptoms	PROCESS_OF	Patients	15680696	C1457887	sosy	C0030705	humn	42530097	73734574	0	0
311	Brain	PART_OF	Rattus norvegicus	17197096	C0006104	bpoc	C0034693	mamm	42921081	74446666	1	1
312	Brain	LOCATION_OF	Voltage-Gated Potassium Channel	17197096	C0006104	bpoc	C0814023	aapp	42921086	74446666	1	1
313	Oligosaccharides	COEXISTS_WITH	Voltage-Gated Potassium Channel	17197096	C0028959	carb	C0814023	aapp	42921092	74446666	1	1
314	Brain	PART_OF	Rattus norvegicus	17197096	C0006104	bpoc	C0034693	mamm	42921157	74446839	1	1
315	Tissue membrane	PART_OF	Brain	17197096	C0025255	tisu	C0006104	bpoc	42921199	74446886	1	1
316	Endo-beta-N-Acetylglucosaminidase F	PART_OF	Tissue membrane	17197096	C0014158	aapp	C0025255	tisu	42921204	74446886	1	1
317	Endo-beta-N-Acetylglucosaminidase F	ISA	Therapeutic procedure	17197096	C0014158	aapp	C0087111	topp	42921253	74447067	1	0
318	Neuraminidase	ISA	Therapeutic procedure	17197096	C0027803	aapp	C0087111	topp	42921258	74447067	1	0
319	Therapeutic procedure	USES	Neuraminidase	17197096	C0087111	topp	C0027803	aapp	42921261	74447067	0	1
320	Therapeutic procedure	USES	Endo-beta-N-Acetylglucosaminidase F	17197096	C0087111	topp	C0014158	aapp	42921266	74447067	0	1
321	Brain	PART_OF	Rattus norvegicus	17197096	C0006104	bpoc	C0034693	mamm	42921329	74447173	1	1
322	Brain	LOCATION_OF	3/4	17197096	C0006104	bpoc	C0442757	fndg	42921336	74447173	1	1
323	Brain tissue	LOCATION_OF	Transferase	12911634	C0459385	bpoc	C0040676	aapp	43163445	74881844	1	1
324	Transferase	CAUSES	Neurodegenerative Disorders	12911634	C0040676	aapp	C0524851	dsyn	43163543	74881997	1	1
325	OGT gene	PART_OF	Brain	12911634	C1417945	gngm	C0006104	bpoc	43163687	74882311	1	1
326	OGT gene	CAUSES	Alzheimer's Disease	12911634	C1417945	gngm	C0002395	dsyn	43163695	74882311	1	1
327	OGT gene	PART_OF	Cytosol	12911634	C1417945	gngm	C0010854	celc	43163748	74882479	1	1
328	Liver tissue	LOCATION_OF	OGT gene	12911634	C0440748	tisu	C1417945	aapp	43163764	74882479	1	1
329	Brain tissue	LOCATION_OF	OGT gene	12911634	C0459385	bpoc	C1417945	aapp	43163769	74882479	1	1
330	OGT gene	PART_OF	Cytosol	12911634	C1417945	gngm	C0010854	celc	43163809	74882600	1	1
331	Cytosol	LOCATION_OF	OGT gene	12911634	C0010854	celc	C1417945	aapp	43163873	74882673	1	1
332	OGT gene	PART_OF	Cytosol	12911634	C1417945	gngm	C0010854	celc	43163996	74882849	1	1
333	OGT gene	INTERACTS_WITH	alanosine	12911634	C1417945	gngm	C0051066	gngm	43163998	74882849	1	1
334	Cytosol	PART_OF	Brain	12911634	C0010854	celc	C0006104	bpoc	43164082	74882989	1	1
335	Two	ISA	Techniques	12911634	C0205448	qnco	C0449851	ftcn	43164086	74882989	1	1
336	Blotting, Western	USES	Antibodies	12911634	C0005863	lbpr	C0003241	aapp	43164093	74882989	1	1
337	Cytosol	LOCATION_OF	Glycoproteins	12911634	C0010854	celc	C0017968	aapp	43164094	74882989	1	1
338	Alzheimer's Disease	ISA	Disease	16669732	C0002395	dsyn	C0012634	dsyn	44113163	76609887	1	0
339	Amyloid	INTERACTS_WITH	MAPT gene	16669732	C0002716	aapp	C1446659	aapp	44113372	76610095	1	1
340	Achalasia	COEXISTS_WITH	Rare Diseases	16970037	C1321756	fndg	C0678236	dsyn	44456399	77238121	1	1
341	Increased sweating	COEXISTS_WITH	Muscular Atrophy	16970037	C0700590	sosy	C0026846	dsyn	44456547	77238314	1	1
342	Increased sweating	COEXISTS_WITH	Wasting	16970037	C0700590	sosy	C0235394	dsyn	44456552	77238314	1	1
343	Leg	LOCATION_OF	Muscular Atrophy	16970037	C1140621	blor	C0026846	dsyn	44456558	77238314	1	1
344	Leg	LOCATION_OF	Wasting	16970037	C1140621	blor	C0235394	dsyn	44456561	77238314	1	1
345	Leg	LOCATION_OF	MUSCLE WEAKNESS, PROGRESSIVE	16970037	C1140621	blor	C0240421	fndg	44456570	77238314	1	1
346	Neurologic Deficits	PROCESS_OF	Woman	16970037	C0521654	fndg	C0043210	humn	44456575	77238314	1	1
347	3-azido-2,7-naphthalene disulfonate	ISA	Acids	15804603	C0047247	orch	C0001128	chem	44468482	77260746	1	1
348	Glucocorticoid deficiency with achalasia	PROCESS_OF	Family	16937455	C0271742	dsyn	C0015576	humn	44800833	77872797	1	1
349	Syndrome	PROCESS_OF	Family	16937455	C0039082	dsyn	C0015576	humn	44800834	77872797	0	1
350	Glucocorticoid deficiency with achalasia	ISA	Esophageal achalasia	16937455	C0271742	dsyn	C0014848	dsyn	44800904	77872918	1	1
351	Glucocorticoid deficiency with achalasia	ASSOCIATED_WITH	Mutation	16937455	C0271742	dsyn	C0026882	genf	44800975	77873035	1	1
352	Iron deficiency anemia	PROCESS_OF	sibling	16937455	C0162316	dsyn	C0037047	humn	44801083	77873327	1	1
353	Iron deficiency anemia	PROCESS_OF	Younger sister	16937455	C0162316	dsyn	C0337525	humn	44801091	77873327	1	1
354	Neurologic Symptoms	PROCESS_OF	Child	16937455	C0235031	sosy	C0008059	humn	44801108	77873418	1	1
355	Alacrima	COEXISTS_WITH	Rare Diseases	16938764	C0344505	cgab	C0678236	dsyn	45021136	78289651	1	1
356	Mutation	CAUSES	Glucocorticoid deficiency with achalasia	16938764	C0026882	genf	C0271742	dsyn	45021186	78289800	1	1
357	Consanguinity	PROCESS_OF	parent	16938764	C0009789	fndg	C0030551	humn	45021308	78289991	1	1
358	Glucocorticoid deficiency with achalasia	PROCESS_OF	parent	16938764	C0271742	dsyn	C0030551	humn	45021320	78289991	1	1
359	Birth	PROCESS_OF	Sister	16938764	C0005615	orgf	C0337514	humn	45021400	78290081	1	1
360	Glucocorticoid deficiency with achalasia	PROCESS_OF	Patients	16938764	C0271742	dsyn	C0030705	humn	45021490	78290302	1	0
361	Gene Mutation	PROCESS_OF	Sister	16938764	C0596611	genf	C0337514	humn	45021508	78290302	1	1
362	Proteins	AFFECTS	glycosylation	15133511	C0033684	aapp	C0017982	npop	45100418	78439408	1	1
363	GALNT3 gene	CAUSES	Tumoral calcinosis	15133511	C1414953	gngm	C0263628	dsyn	45100428	78439408	1	1
364	Tumoral calcinosis	ISA	Metabolic Diseases	15133511	C0263628	dsyn	C0025517	dsyn	45100503	78439525	1	1
365	glycosyltransferase	AFFECTS	glycosylation	15133511	C0085249	aapp	C0017982	npop	45100566	78439689	1	1
366	Individual	LOCATION_OF	GALNT3 gene	15133511	C0237401	humn	C1414953	aapp	45100621	78439790	1	1
367	Eukaryota	LOCATION_OF	Acetylglucosamine	12882516	C0684063	orgm	C0001056	carb	45181800	78586420	1	1
368	Eukaryota	LOCATION_OF	Cytoplasmic Protein	12882516	C0684063	orgm	C1333198	aapp	45181802	78586420	1	1
369	Acetylglucosamine	PART_OF	Serine	12882516	C0001056	bacs	C0036720	aapp	45181806	78586420	1	1
370	Acetylglucosamine	PART_OF	Threonine	12882516	C0001056	bacs	C0040005	aapp	45181812	78586420	1	1
371	Cytoplasmic Protein	PART_OF	Serine	12882516	C1333198	bacs	C0036720	aapp	45181820	78586420	1	1
372	Cytoplasmic Protein	PART_OF	Threonine	12882516	C1333198	bacs	C0040005	aapp	45181831	78586420	1	1
373	Growth	PROCESS_OF	House mice	12882516	C0018270	orgf	C0025914	mamm	45181933	78586701	1	1
374	Estrogen Receptors	INTERACTS_WITH	Regulatory Protein	12882516	C0034804	aapp	C0815047	aapp	45182141	78587033	1	1
375	beta catenin	INTERACTS_WITH	Regulatory Protein	12882516	C0105770	aapp	C0815047	aapp	45182148	78587033	1	1
376	Phosphorylation	AFFECTS	Regulatory Protein	12882516	C0031715	moft	C0815047	gngm	45182196	78587189	1	1
377	Dopamine	CAUSES	Oxidative Stress	17853535	C0013030	nsba	C0242606	comd	45536119	79231477	1	1
378	Pesticides	CAUSES	Nerve Degeneration	17853535	C0031253	hops	C0027746	comd	45536126	79231477	1	1
379	alpha-Synuclein	CAUSES	Cell Death	17853535	C0285890	gngm	C0007587	celf	45536202	79231598	1	1
380	Mutation	CAUSES	Syndrome	14646395	C0026882	genf	C0039082	dsyn	46857568	81643756	1	0
381	Glucocorticoid deficiency with achalasia	ASSOCIATED_WITH	Mutation	18175081	C0271742	dsyn	C0026882	genf	46977933	81866064	1	1
382	Adrenal gland hypofunction	COEXISTS_WITH	Achalasia	18175081	C0001623	dsyn	C1321756	fndg	46978083	81866298	1	1
383	Deglutition Disorders	COEXISTS_WITH	Achalasia	18175081	C0011168	dsyn	C1321756	fndg	46978088	81866298	1	1
384	Optic Atrophy	COEXISTS_WITH	Achalasia	18175081	C0029124	dsyn	C1321756	fndg	46978093	81866298	1	1
385	Sensory neuropathy	COEXISTS_WITH	Achalasia	18175081	C0151313	dsyn	C1321756	fndg	46978098	81866298	1	1
386	Urine	PART_OF	Patients	16372276	C0042036	bdsu	C0030705	humn	47090046	82073885	1	0
387	Congenital Disorders	PROCESS_OF	Patients	16372276	C0242354	dsyn	C0030705	humn	47090065	82073885	0	0
388	Urine	PART_OF	Patients	16372276	C0042036	bdsu	C0030705	humn	47090138	82074010	1	0
389	Prodrugs	ISA	Therapeutic procedure	17049852	C0033262	chvf	C0087111	topp	47231184	82349055	1	0
390	Adrenal gland hypofunction	COEXISTS_WITH	Autosome Disorders	19078797	C0001623	dsyn	C0870182	comd	47346587	82563588	1	1
391	Alacrima	COEXISTS_WITH	Autosome Disorders	19078797	C0344505	cgab	C0870182	comd	47346594	82563588	1	1
392	Genes	TREATS	Glucocorticoid deficiency with achalasia	19078797	C0017337	aapp	C0271742	dsyn	47346640	82563753	1	1
393	zone electrophoresis	DIAGNOSES	Congenital Disorders	14633925	C0678634	lbpr	C0242354	dsyn	47348308	82566635	1	0
394	Abnormal result	PROCESS_OF	Patients	14633925	C0459424	fndg	C0030705	humn	47348975	82567687	1	0
395	Brazil	ISA	Country	16197535	C0006137	geoa	C0454664	geoa	47435483	82722349	1	1
396	Achalasia	COEXISTS_WITH	Glucocorticoid deficiency with achalasia	16197535	C1321756	fndg	C0271742	dsyn	47435588	82722519	1	1
397	Achalasia	COEXISTS_WITH	Multisystem disorder	16197535	C1321756	fndg	C0559758	dsyn	47435601	82722519	1	0
398	Achalasia	PROCESS_OF	Patients	16197535	C1321756	fndg	C0030705	humn	47435642	82722683	1	0
399	Electrophoresis, Capillary	ISA	Electrophoresis	17716641	C0201699	lbpr	C0013855	lbpr	47460662	82768476	1	1
400	Peptides	ISA	Proteins	17716641	C0030956	aapp	C0033684	aapp	47460800	82768812	1	1
401	Glycoproteins	PART_OF	cutaneous membrane	14675190	C0017968	aapp	C0684085	bpoc	48136118	84011428	1	1
402	Autoantibodies	ASSOCIATED_WITH	Autoimmune Diseases	14675190	C0004358	aapp	C0004364	dsyn	48136183	84011478	1	1
403	Autoantigens	AFFECTS	Cell-Matrix Junction	14675190	C0004359	imft	C0887869	celc	48136237	84011579	1	1
404	Autoimmune Diseases	PROCESS_OF	Patients	14675190	C0004364	dsyn	C0030705	humn	48136741	84012401	1	0
405	Alacrima	PART_OF	Infant	16915903	C0344505	cgab	C0021270	humn	48580093	84824217	1	1
406	Cornea	LOCATION_OF	Superficial ulcer	16915903	C0010031	bpoc	C0333307	acab	48580146	84824309	1	1
407	Superficial ulcer	PART_OF	Infant	16915903	C0333307	acab	C0021270	humn	48580154	84824309	1	1
408	Anterior chamber of eye structure	PART_OF	Cornea	16915903	C0003151	bpoc	C0010031	bpoc	48580187	84824471	1	1
409	Serum	PART_OF	Human	17523137	C0229671	bdsu	C0020114	humn	48862885	85348510	1	1
410	Brain	LOCATION_OF	Transferase	16714295	C0006104	bpoc	C0040676	aapp	48962450	85528200	1	1
411	Protoplasm	LOCATION_OF	glycosylation	16714295	C0175996	celc	C0017982	npop	48962565	85528321	1	1
412	Alzheimer's Disease	ISA	Neurodegenerative Disorders	16714295	C0002395	dsyn	C0524851	dsyn	48962667	85528478	1	1
413	Brain	LOCATION_OF	Transferase	16714295	C0006104	bpoc	C0040676	aapp	48962671	85528478	1	1
414	Protoplasm	LOCATION_OF	glycosylation	16714295	C0175996	celc	C0017982	npop	48962782	85528802	1	1
415	Protoplasm	LOCATION_OF	glycosylation	16714295	C0175996	celc	C0017982	npop	48962916	85529061	1	1
416	Glucocorticoid deficiency with achalasia	OCCURS_IN	Brothers	16264411	C0271742	dsyn	C0337527	famg	49027447	85652598	1	1
417	Glucocorticoid deficiency with achalasia	ISA	Achalasia	16264411	C0271742	dsyn	C1321756	fndg	49027531	85652701	1	1
418	Addison's disease	PROCESS_OF	Brothers	16264411	C0001403	dsyn	C0337527	humn	49027560	85652790	1	1
419	Addison's disease	PROCESS_OF	Younger brother	16264411	C0001403	dsyn	C0337538	humn	49027580	85652850	1	1
420	Achalasia	PROCESS_OF	Patients	16264411	C1321756	fndg	C0030705	humn	49027655	85652939	1	0
421	Western Blot	USES	Specific antibody	15194565	C0949466	lbpr	C0443640	aapp	49457815	86454855	1	1
422	MUC5B gene	compared_with	MUC5AC gene	15194565	C1417498	gngm	C1417497	gngm	49457816	86454855	1	1
423	MUC5B gene	higher_than	MUC5AC gene	15194565	C1417498	gngm	C1417497	gngm	49457817	86454855	1	1
424	Patients	LOCATION_OF	Mucins	15194565	C0030705	humn	C0026682	aapp	49458071	86455420	0	1
425	Cells	LOCATION_OF	Molecular Chaperones	16964526	C0007634	cell	C0243041	aapp	49508361	86557030	1	1
426	Induction	USES	Molecular Chaperones	16964526	C0857127	topp	C0243041	aapp	49508415	86557101	1	1
427	biological adaptation to stress	COEXISTS_WITH	Aging	16964526	C0149784	phsf	C0001811	orgf	49508536	86557178	1	1
428	Molecular Chaperones	ASSOCIATED_WITH	immunosenescence	16964526	C0243041	aapp	C0596761	patf	49508561	86557429	1	1
429	Zinc	COEXISTS_WITH	Molecular Chaperones	16964526	C0043481	bacs	C0243041	aapp	49508590	86557479	1	1
430	Oxidative Stress	AFFECTS	Inclusion Body Myopathy, Sporadic	16315367	C0242606	comd	C0751713	dsyn	49591492	86710716	1	1
431	Inflammatory Response	AFFECTS	Muscle degeneration	16315367	C1155266	patf	C0234958	dsyn	49591582	86710863	1	1
432	Eye Manifestations	PROCESS_OF	sibling	17595484	C0015411	sosy	C0037047	humn	49940941	87359229	1	1
433	Glucocorticoid deficiency with achalasia	ISA	Syndrome	17595484	C0271742	dsyn	C0039082	dsyn	49941014	87359286	1	0
434	Esophageal cardia	LOCATION_OF	Achalasia	17595484	C0939943	bpoc	C1321756	fndg	49941020	87359286	1	1
435	Adrenal gland hypofunction	COEXISTS_WITH	Rare Diseases	17595484	C0001623	dsyn	C0678236	dsyn	49941027	87359286	1	1
436	Consanguinity	PROCESS_OF	Family	17595484	C0009789	fndg	C0015576	humn	49941061	87359438	1	1
437	Eye Manifestations	PROCESS_OF	sibling	17595484	C0015411	sosy	C0037047	humn	49941063	87359438	1	1
438	Glucocorticoid deficiency with achalasia	PROCESS_OF	Family	17595484	C0271742	dsyn	C0015576	humn	49941067	87359438	1	1
439	Eyelid structure	PART_OF	Entire lacrimal gland	17595484	C0015426	bpoc	C1278886	bpoc	49941133	87359500	1	1
440	Eye	LOCATION_OF	Pupillary reflex test	17595484	C0015392	bpoc	C0034941	diap	49941139	87359500	1	1
441	Esophageal achalasia	PROCESS_OF	Patients	17595484	C0014848	dsyn	C0030705	humn	49941166	87359649	1	0
442	Plication	TREATS	Achalasia	17595484	C0185026	topp	C1321756	fndg	49941220	87359709	1	1
443	Polysaccharides	COEXISTS_WITH	Glycopeptides	15589762	C0032594	carb	C0017953	aapp	50078400	87621990	1	1
444	Congenital Disorders	PROCESS_OF	Patients	15589762	C0242354	dsyn	C0030705	humn	50078483	87622247	0	0
445	Urine	PART_OF	Patients	15589762	C0042036	bdsu	C0030705	humn	50078486	87622247	1	0
446	Metabolic Diseases	PROCESS_OF	glycosylation	15589762	C0025517	dsyn	C0017982	npop	50078519	87622441	1	1
447	Urine	PART_OF	Patients	15589762	C0042036	bdsu	C0030705	humn	50078611	87622503	1	0
448	Congenital Disorders	PROCESS_OF	Patients	16051600	C0242354	dsyn	C0030705	humn	50098298	87660883	0	0
449	Patients	LOCATION_OF	COG2 gene	16051600	C0030705	humn	C1416822	aapp	50098305	87660883	0	1
450	Patients	LOCATION_OF	COG1 gene	16051600	C0030705	humn	C1416821	aapp	50098310	87660883	0	1
451	Pathological Dilatation	ASSOCIATED_WITH	COG1 gene	16051600	C0012359	patf	C1416821	gngm	50098456	87661136	1	1
452	Proteins	STIMULATES	COG7 gene	16051600	C0033684	gngm	C1425654	gngm	50098771	87661806	1	1
453	COG1 gene	STIMULATES	COG5 gene	16051600	C1416821	gngm	C1423002	gngm	50098776	87661806	1	1
454	COG1 gene	STIMULATES	COG7 gene	16051600	C1416821	gngm	C1425654	gngm	50098783	87661806	1	1
455	Proteins	STIMULATES	COG5 gene	16051600	C0033684	gngm	C1423002	gngm	50098788	87661806	1	1
456	Pichia pastoris	LOCATION_OF	Recombinant Proteins	16274825	C0997362	fngs	C0034861	aapp	50158545	87776023	1	1
457	Transcription, Genetic	AFFECTS	Translation, Genetic	16274825	C0040649	genf	C0040711	genf	50158553	87776023	1	1
458	alpha-Synuclein	PART_OF	Golgi Apparatus	12932858	C0285890	aapp	C0018042	celc	50238159	87926800	1	1
459	alpha-Synuclein	ASSOCIATED_WITH	Parkinson Disease	12932858	C0285890	aapp	C0030567	dsyn	50238195	87926864	1	1
460	alpha-Synuclein	ISA	Proteins	12932858	C0285890	aapp	C0033684	aapp	50238204	87926864	1	1
